Classifier,Experiment,Simulations,Preprocessing,Dimensionality,Dataset,rs,aggregation,acc,f1,p_acc,p_f1,test_acc,test_f1,p_test_acc,p_test_f1,test_mean_acc,test_mean_f1,n_models
rfc,mca,7,graph,pca,D100,41,meta,0.7075,0.804137022397892,0.06540000000000001,0.053000000000000005,0.7571428571428571,0.8427035330261138,0.004285714285714286,0.007285714285714286,0.757142857142857,0.8425129962997434,5
svc,mca,5,graph,pca,D100,41,none,0.7372,0.8201462732777309,0.051928000000000016,0.031880000000000006,0.6999999999999998,0.823529411764706,0.018000000000000002,0.009000000000000001,0.7143999999999999,0.8091262902968933,125
svc,mca,5,graph,pca,D100,41,meta,0.6908333333333333,0.8084615384615385,0.060600000000000015,0.0238,0.6300000000000001,0.7696969696969698,0.1174,0.0398,0.6559999999999999,0.7870323730665287,5
svc,mca,18,loggraph,pca,D100,41,mega,0.7171565357054608,0.8022027253596609,0.0028,0.0,0.7263157894736842,0.8317152103559871,0.0,0.0,0.7131578947368421,0.8108823768110355,5
rfc,mca,7,loggraph,fa,D100,41,median,0.7183333333333334,0.8137681159420291,0.0382,0.0266,0.65,0.7878787878787878,0.06,0.027000000000000003,0.65,0.7766568914956012,5
knn,mca,10,zgraph,pca,D100,41,consensus,0.7575,0.8129886737303617,0.0422,0.0994,0.7,0.7999999999999999,0.021,0.026000000000000002,0.71,0.8026142215630536,5
svc,mca,14,loggraph,pca,D100,41,mean,0.7566666666666666,0.8188972431077695,0.0122,0.017,0.65,0.7878787878787878,0.07200000000000001,0.021,0.74,0.82183060543461,5
knn,mca,20,loggraph,pca,D100,41,ref,0.6799999999999999,0.7945125727734423,0.07,0.055200000000000006,0.7,0.8125000000000001,0.018000000000000002,0.01,0.7200000000000001,0.8256060606060606,5
svc,mca,2,graph,fa,D100,41,consensus,0.7433333333333334,0.7954621848739497,0.0334,0.055000000000000014,0.75,0.8387096774193549,0.005,0.008,0.7100000000000001,0.7609900566422305,5
svc,mca,16,zgraph,pca,D100,41,mega,0.8216141732283464,0.8624439501842781,0.0,0.0,0.7970588235294118,0.87292817679558,0.0,0.0,0.73,0.8014830811046696,5
rfc,mca,2,rankgraph,fa,D100,41,median,0.7175,0.8165034965034966,0.0258,0.0186,0.7,0.8125000000000001,0.028999999999999998,0.013999999999999999,0.66,0.7850806451612904,5
rfc,mca,20,loggraph,pca,D100,41,median,0.72,0.8143182035355949,0.0706,0.0514,0.7,0.8235294117647058,0.018000000000000002,0.006999999999999999,0.6599999999999999,0.7945632798573975,5
svc,mca,7,loggraph,pca,D100,41,median,0.7566666666666666,0.8225336067441331,0.012200000000000004,0.0174,0.65,0.7878787878787878,0.06,0.027000000000000003,0.73,0.8184192753853488,5
ada,mca,7,graph,fa,D100,41,mean,0.655,0.7456058327637275,0.13940000000000002,0.1378,0.75,0.8275862068965518,0.005,0.008,0.6799999999999999,0.7750747699134796,5
lrc,mca,7,rankgraph,fa,D100,41,mega,0.6217454481792718,0.7001673748542718,0.0892,0.14400000000000002,0.66875,0.7685589519650656,0.0,0.0,0.6212500000000001,0.7107337140332666,5
ada,mca,14,rankgraph,fa,D100,41,none,0.6396190476190475,0.7301218107380253,0.11853142857142858,0.11977428571428575,0.7014285714285717,0.7869897959183673,0.022685714285714274,0.020714285714285702,0.6607142857142855,0.7566196919300369,350
ada,mca,14,rankgraph,fa,D100,41,meta,0.6408333333333334,0.7417316017316017,0.1298,0.0962,0.7,0.8,0.023000000000000003,0.019,0.6900000000000001,0.7826869904289259,5
ada,mca,18,loggraph,fa,D100,41,median,0.615,0.7041545893719807,0.2324,0.23080000000000006,0.6,0.7333333333333334,0.131,0.084,0.68,0.7768800136542072,5
