Classifier,Experiment,Simulations,Preprocessing,Dimensionality,Dataset,rs,aggregation,acc,f1,p_acc,p_f1,test_acc,test_f1,p_test_acc,p_test_f1,test_mean_acc,test_mean_f1,n_models
rfc,mca,16,loggraph,pca,D100,41,median,0.6125,0.6359663865546219,0.1918,0.183,0.75,0.7826086956521738,0.005,0.005,0.68,0.6777427526034338,5
lrc,mca,5,zgraph,pca,D100,41,none,0.563,0.5774754533392306,0.25472,0.3105039999999999,0.65,0.6956521739130435,0.065,0.042,0.6212,0.6551055900621117,125
lrc,mca,5,zgraph,pca,D100,41,meta,0.55,0.5691287041132242,0.283,0.3282,0.65,0.6956521739130435,0.065,0.042,0.6180000000000001,0.6521513269339356,5
rfc,mca,5,loggraph,fa,D100,41,truncate,0.6408333333333334,0.6057017543859649,0.0914,0.25,0.65,0.631578947368421,0.065,0.136,0.65,0.6075593395252837,5
lrc,mca,18,graph,fa,D100,41,consensus,0.5875,0.5746600458365165,0.2384,0.331,0.7,0.7272727272727272,0.02,0.017,0.5900000000000001,0.6039470217044588,5
ada,mca,18,rankgraph,pca,D100,41,consensus,0.6399999999999999,0.7191387559808613,0.1228,0.0642,0.7,0.7692307692307693,0.02,0.009,0.63,0.6930675990675992,5
rfc,mca,5,rankgraph,fa,D100,41,mean,0.575,0.5851393188854489,0.297,0.3461999999999999,0.65,0.6666666666666666,0.065,0.054,0.5799999999999998,0.5479188166494667,5
ada,mca,7,loggraph,pca,D100,41,truncate,0.525,0.4630679262258209,0.345,0.5488,0.75,0.761904761904762,0.01,0.005,0.7,0.6996411483253588,5
ada,mca,18,graph,pca,D100,41,consensus,0.55,0.4913157894736842,0.2886,0.4571999999999999,0.6,0.6363636363636365,0.15,0.114,0.61,0.6270092226613966,5
lrc,mca,20,loggraph,pca,D100,41,mean,0.6391666666666667,0.6559200603318251,0.1076,0.1342,0.7,0.6666666666666665,0.02,0.098,0.6499999999999999,0.6295768833849328,5
lrc,mca,20,rankgraph,fa,D100,41,mega,0.5822506515043828,0.5596907142551079,0.1422,0.2184,0.5476190476190477,0.5226130653266331,0.022,0.207,0.5861904761904762,0.5222920032851855,5
svc,mca,2,zgraph,pca,D100,41,consensus,0.6275000000000001,0.5193939393939393,0.129,0.462,0.65,0.631578947368421,0.062,0.137,0.6,0.5404334365325077,5
rfc,mca,5,loggraph,pca,D100,41,truncate,0.5875,0.6037082903336773,0.2632,0.3196,0.75,0.7826086956521738,0.009,0.003,0.6799999999999999,0.6872006102212052,5
lrc,mca,12,zgraph,pca,D100,41,mega,0.5849219620958752,0.6045592557623476,0.1834,0.0646,0.65,0.6956521739130435,0.0,0.0,0.6546153846153846,0.6971458494423632,5
ada,mca,14,loggraph,pca,D100,41,mean,0.6275000000000001,0.6429824561403509,0.1312,0.142,0.75,0.7826086956521738,0.013,0.006,0.65,0.6230645124008968,5
svc,mca,10,rankgraph,pca,D100,41,median,0.5758333333333334,0.5341558441558442,0.2694,0.4579999999999999,0.6,0.6,0.132,0.2,0.5900000000000001,0.5426900584795321,5
lrc,mca,5,graph,fa,D100,41,truncate,0.5733333333333334,0.5515082956259427,0.2961999999999999,0.3958,0.55,0.5263157894736842,0.252,0.397,0.5599999999999999,0.5269803296119087,5
ada,mca,18,rankgraph,fa,D100,41,median,0.5900000000000001,0.5750148544266193,0.2384,0.3409999999999999,0.6,0.5555555555555556,0.15,0.324,0.65,0.6148606811145509,5
ada,mca,20,zgraph,pca,D100,41,mean,0.5641666666666667,0.5437076648841355,0.2646,0.4054,0.65,0.631578947368421,0.062,0.136,0.55,0.4861897390535161,5
ada,mca,20,rankgraph,fa,D100,41,mean,0.525,0.5166214177978884,0.333,0.4551999999999999,0.7,0.7,0.02,0.035,0.5599999999999999,0.5747913921826966,5
ada,mca,12,graph,fa,D100,41,none,0.5892777777777778,0.5868201058201057,0.2159933333333333,0.2752,0.6025000000000001,0.5593397745571659,0.1180666666666666,0.2881499999999999,0.6786666666666666,0.6445943646996279,300
ada,mca,12,graph,fa,D100,41,meta,0.5875,0.5751069982648929,0.2282,0.3056,0.6958333333333333,0.6601307189542481,0.0209166666666666,0.0926666666666666,0.6808333333333333,0.6542569659442726,5
lrc,mca,2,graph,fa,D100,41,truncate,0.5483333333333333,0.5454822954822955,0.2881999999999999,0.3944,0.5,0.5,0.432,0.458,0.53,0.5127153891859775,5
rfc,mca,16,zgraph,fa,D100,41,median,0.575,0.5773076923076923,0.2346,0.3061999999999999,0.75,0.7368421052631577,0.005,0.015,0.7,0.6758604845446952,5
lrc,mca,12,zgraph,pca,D100,41,median,0.5883333333333334,0.6071747997444593,0.2113999999999999,0.224,0.65,0.6956521739130435,0.064,0.036,0.65,0.6909090909090908,5
svc,mca,14,graph,fa,D100,41,median,0.5775,0.4207575757575757,0.2324,0.6202,0.7,0.7272727272727272,0.033,0.024,0.5900000000000001,0.4773109243697478,5
svc,mca,12,graph,pca,D100,41,none,0.5889444444444444,0.4265044563279858,0.2101133333333333,0.6059666666666667,0.5016666666666667,0.447037037037037,0.3963166666666666,0.6491333333333332,0.5796666666666664,0.4122527472527471,300
svc,mca,12,graph,pca,D100,41,meta,0.6266666666666667,0.5371250971250972,0.2098,0.3836,0.5999999999999999,0.5,0.12,0.437,0.5866666666666667,0.4871023965141614,5
rfc,mca,20,zgraph,pca,D100,41,truncate,0.6925,0.6713962508080156,0.0465999999999999,0.1354,0.65,0.631578947368421,0.062,0.136,0.62,0.622283650302226,5
ada,mca,20,rankgraph,fa,D100,41,consensus,0.5525,0.5518059855521156,0.2798,0.3604,0.75,0.7826086956521738,0.006,0.005,0.68,0.7131655225019069,5
lrc,mca,7,loggraph,pca,D100,41,none,0.5777380952380952,0.5823949579831932,0.2286914285714285,0.3030685714285714,0.6485714285714285,0.629406850459482,0.0731142857142857,0.1391142857142857,0.6402857142857143,0.6134913040176198,175
lrc,mca,7,loggraph,pca,D100,41,meta,0.5766666666666667,0.5811764705882354,0.2312,0.3057999999999999,0.692857142857143,0.6616541353383456,0.0324285714285714,0.0877142857142857,0.6471428571428571,0.6250948226180425,5
